#wav 	 bestfit 	 low1sig 	 up1sig 	 low2sig 	 up2sig 
0.6178792682 0.0095879925 0.0095817480 0.0095936041 0.0095778035 0.0096028686
0.6117616517 0.0095881004 0.0095819676 0.0095937033 0.0095779254 0.0096030521
0.6057046057 0.0095882968 0.0095822723 0.0095938167 0.0095781848 0.0096032758
0.5997075304 0.0095888422 0.0095829104 0.0095942715 0.0095790552 0.0096036547
0.5937698320 0.0095891824 0.0095833708 0.0095946297 0.0095800121 0.0096039720
0.5878909228 0.0095889473 0.0095830447 0.0095944922 0.0095793178 0.0096040167
0.5820702206 0.0095885158 0.0095825783 0.0095941299 0.0095783761 0.0096038512
0.5763071491 0.0095888385 0.0095828038 0.0095944821 0.0095788179 0.0096040649
0.5706011377 0.0095892299 0.0095829511 0.0095948161 0.0095792072 0.0096042750
0.5649516215 0.0095888577 0.0095825228 0.0095948040 0.0095783402 0.0096041142
0.5593580411 0.0095888915 0.0095824782 0.0095948707 0.0095783771 0.0096041675
0.5538198427 0.0095889603 0.0095825528 0.0095949284 0.0095784344 0.0096042514
0.5483364779 0.0095891077 0.0095828172 0.0095950613 0.0095788187 0.0096043792
0.5429074039 0.0095892580 0.0095831094 0.0095951814 0.0095789278 0.0096046187
0.5375320830 0.0095891974 0.0095829360 0.0095951343 0.0095788346 0.0096047676
0.5322099832 0.0095892939 0.0095829542 0.0095951872 0.0095788309 0.0096049902
0.5269405774 0.0095894122 0.0095830059 0.0095952889 0.0095789048 0.0096052217
0.5217233440 0.0095894828 0.0095830368 0.0095954822 0.0095788980 0.0096054467
0.5165577663 0.0095895893 0.0095831438 0.0095955680 0.0095789074 0.0096056734
0.5114433330 0.0095898023 0.0095833350 0.0095957516 0.0095789977 0.0096059291
0.5063795376 0.0095900320 0.0095835889 0.0095959379 0.0095790865 0.0096061958
0.5013658788 0.0095901309 0.0095836476 0.0095960380 0.0095791184 0.0096064066
